flag_id,date,zone,hour,traffic_level,weather
70,2026-05-10,Koramangala,21,medium,Cloudy
71,2026-05-10,Koramangala,22,high,Clear
72,2026-05-10,Koramangala,23,medium,Clear
73,2026-05-11,Koramangala,0,low,Clear
74,2026-05-11,Koramangala,1,low,Clear
75,2026-05-11,Koramangala,2,low,Clear
76,2026-05-11,Koramangala,3,medium,Clear
77,2026-05-11,Koramangala,4,low,Clear
78,2026-05-11,Koramangala,5,high,Clear
79,2026-05-11,Koramangala,6,medium,Rain
80,2026-05-11,Koramangala,7,low,Clear
81,2026-05-11,Koramangala,8,low,Clear
82,2026-05-11,Koramangala,9,medium,Clear
83,2026-05-11,Koramangala,10,low,Rain
84,2026-05-11,Koramangala,11,low,Clear
85,2026-05-11,Koramangala,12,low,Clear
86,2026-05-11,Koramangala,13,high,Clear
87,2026-05-11,Koramangala,14,medium,Clear
88,2026-05-11,Koramangala,15,medium,Clear
89,2026-05-11,Koramangala,16,medium,Clear
90,2026-05-11,Koramangala,17,high,Clear
91,2026-05-11,Koramangala,18,medium,Clear
92,2026-05-11,Koramangala,19,high,Cloudy
93,2026-05-11,Koramangala,20,medium,Clear
94,2026-05-11,Koramangala,21,high,Clear
95,2026-05-11,Koramangala,22,medium,Clear
96,2026-05-11,Koramangala,23,low,Cloudy
97,2026-05-12,Koramangala,0,medium,Clear
98,2026-05-12,Koramangala,1,low,Clear
99,2026-05-12,Koramangala,2,low,Cloudy
100,2026-05-12,Koramangala,3,medium,Rain
101,2026-05-12,Koramangala,4,low,Clear
102,2026-05-12,Koramangala,5,low,Cloudy
103,2026-05-12,Koramangala,6,medium,Clear
104,2026-05-12,Koramangala,7,low,Clear
105,2026-05-12,Koramangala,8,low,Clear
106,2026-05-12,Koramangala,9,medium,Clear
107,2026-05-12,Koramangala,10,medium,Clear
108,2026-05-12,Koramangala,11,medium,Clear
109,2026-05-12,Koramangala,12,medium,Clear
110,2026-05-12,Koramangala,13,high,Rain
111,2026-05-12,Koramangala,14,medium,Clear
112,2026-05-12,Koramangala,15,low,Clear
113,2026-05-12,Koramangala,16,low,Clear
114,2026-05-12,Koramangala,17,high,Clear
115,2026-05-12,Koramangala,18,high,Clear
116,2026-05-12,Koramangala,19,high,Clear
117,2026-05-12,Koramangala,20,high,Clear
118,2026-05-12,Koramangala,21,medium,Clear
119,2026-05-12,Koramangala,22,low,Clear
120,2026-05-12,Koramangala,23,medium,Clear
121,2026-05-13,Koramangala,0,medium,Cloudy
122,2026-05-13,Koramangala,1,medium,Clear
123,2026-05-13,Koramangala,2,low,Cloudy
124,2026-05-13,Koramangala,3,low,Cloudy
125,2026-05-13,Koramangala,4,high,Cloudy
126,2026-05-13,Koramangala,5,low,Clear
127,2026-05-13,Koramangala,6,high,Clear
128,2026-05-13,Koramangala,7,low,Clear
129,2026-05-13,Koramangala,8,high,Clear
130,2026-05-13,Koramangala,9,medium,Clear
131,2026-05-13,Koramangala,10,medium,Cloudy
132,2026-05-13,Koramangala,11,low,Clear
133,2026-05-13,Koramangala,12,high,Clear
134,2026-05-13,Koramangala,13,high,Clear
135,2026-05-13,Koramangala,14,low,Clear
136,2026-05-13,Koramangala,15,high,Rain
137,2026-05-13,Koramangala,16,high,Cloudy
138,2026-05-13,Koramangala,17,medium,Clear
139,2026-05-13,Koramangala,18,high,Clear
140,2026-05-13,Koramangala,19,high,Rain
141,2026-05-13,Koramangala,20,high,Clear
142,2026-05-13,Koramangala,21,medium,Clear
143,2026-05-13,Koramangala,22,medium,Clear
144,2026-05-13,Koramangala,23,medium,Clear
145,2026-05-14,Koramangala,0,low,Clear
146,2026-05-14,Koramangala,1,low,Clear
147,2026-05-14,Koramangala,2,medium,Clear
148,2026-05-14,Koramangala,3,low,Clear
149,2026-05-14,Koramangala,4,low,Clear
150,2026-05-14,Koramangala,5,low,Clear
151,2026-05-14,Koramangala,6,low,Clear
152,2026-05-14,Koramangala,7,medium,Clear
153,2026-05-14,Koramangala,8,medium,Cloudy
154,2026-05-14,Koramangala,9,medium,Clear
155,2026-05-14,Koramangala,10,medium,Clear
156,2026-05-14,Koramangala,11,medium,Clear
157,2026-05-14,Koramangala,12,low,Cloudy
158,2026-05-14,Koramangala,13,high,Clear
159,2026-05-14,Koramangala,14,medium,Clear
160,2026-05-14,Koramangala,15,low,Clear
161,2026-05-14,Koramangala,16,medium,Clear
162,2026-05-14,Koramangala,17,medium,Clear
163,2026-05-14,Koramangala,18,high,Clear
164,2026-05-14,Koramangala,19,high,Clear
165,2026-05-14,Koramangala,20,high,Clear
166,2026-05-14,Koramangala,21,medium,Rain
167,2026-05-14,Koramangala,22,low,Clear
168,2026-05-14,Koramangala,23,low,Clear
169,2026-05-15,Koramangala,0,medium,Clear
170,2026-05-15,Koramangala,1,low,Clear
171,2026-05-15,Koramangala,2,low,Clear
172,2026-05-15,Koramangala,3,low,Clear
173,2026-05-15,Koramangala,4,low,Clear
174,2026-05-15,Koramangala,5,low,Clear
175,2026-05-15,Koramangala,6,low,Clear
176,2026-05-15,Koramangala,7,medium,Cloudy
177,2026-05-15,Koramangala,8,medium,Clear
178,2026-05-15,Koramangala,9,low,Clear
179,2026-05-15,Koramangala,10,low,Clear
180,2026-05-15,Koramangala,11,high,Clear
181,2026-05-15,Koramangala,12,medium,Clear
182,2026-05-15,Koramangala,13,high,Clear
183,2026-05-15,Koramangala,14,high,Clear
184,2026-05-15,Koramangala,15,high,Cloudy
185,2026-05-15,Koramangala,16,low,Clear
186,2026-05-15,Koramangala,17,low,Clear
187,2026-05-15,Koramangala,18,low,Clear
188,2026-05-15,Koramangala,19,low,Clear
189,2026-05-15,Koramangala,20,high,Clear
190,2026-05-15,Koramangala,21,high,Clear
191,2026-05-15,Koramangala,22,low,Clear
192,2026-05-15,Koramangala,23,medium,Cloudy
193,2026-05-16,Koramangala,0,low,Rain
194,2026-05-16,Koramangala,1,low,Clear
195,2026-05-16,Koramangala,2,low,Rain
196,2026-05-16,Koramangala,3,high,Clear
197,2026-05-16,Koramangala,4,low,Rain
198,2026-05-16,Koramangala,5,low,Cloudy
199,2026-05-16,Koramangala,6,high,Clear
200,2026-05-16,Koramangala,7,medium,Rain
201,2026-05-16,Koramangala,8,low,Cloudy
202,2026-05-16,Koramangala,9,medium,Rain
203,2026-05-16,Koramangala,10,low,Cloudy
204,2026-05-16,Koramangala,11,low,Clear
205,2026-05-16,Koramangala,12,high,Clear
206,2026-05-16,Koramangala,13,medium,Cloudy
207,2026-05-16,Koramangala,14,high,Clear
208,2026-05-16,Koramangala,15,medium,Clear
209,2026-05-16,Koramangala,16,low,Clear
210,2026-05-16,Koramangala,17,medium,Rain
211,2026-05-16,Koramangala,18,high,Rain
212,2026-05-16,Koramangala,19,low,Clear
213,2026-05-16,Koramangala,20,low,Clear
214,2026-05-16,Koramangala,21,high,Cloudy
215,2026-05-16,Koramangala,22,low,Clear
216,2026-05-16,Koramangala,23,low,Rain
217,2026-05-17,Koramangala,0,low,Clear
218,2026-05-17,Koramangala,1,low,Clear
219,2026-05-17,Koramangala,2,low,Rain
220,2026-05-17,Koramangala,3,low,Clear
221,2026-05-17,Koramangala,4,low,Cloudy
222,2026-05-17,Koramangala,5,low,Clear
223,2026-05-17,Koramangala,6,high,Cloudy
224,2026-05-17,Koramangala,7,high,Rain
225,2026-05-17,Koramangala,8,low,Clear
226,2026-05-17,Koramangala,9,medium,Clear
227,2026-05-17,Koramangala,10,medium,Cloudy
228,2026-05-17,Koramangala,11,low,Clear
229,2026-05-17,Koramangala,12,low,Clear
230,2026-05-17,Koramangala,13,low,Clear
231,2026-05-17,Koramangala,14,low,Clear
232,2026-05-17,Koramangala,15,medium,Clear
233,2026-05-17,Koramangala,16,high,Clear
234,2026-05-17,Koramangala,17,low,Cloudy
235,2026-05-17,Koramangala,18,medium,Cloudy
236,2026-05-17,Koramangala,19,low,Cloudy
237,2026-05-17,Koramangala,20,low,Cloudy
238,2026-05-17,Koramangala,21,high,Cloudy
239,2026-05-17,Koramangala,22,low,Clear
240,2026-05-17,Koramangala,23,high,Clear
241,2026-05-18,Koramangala,0,low,Clear
242,2026-05-18,Koramangala,1,low,Clear
243,2026-05-18,Koramangala,2,low,Cloudy
244,2026-05-18,Koramangala,3,low,Clear
245,2026-05-18,Koramangala,4,high,Cloudy
246,2026-05-18,Koramangala,5,low,Clear
247,2026-05-18,Koramangala,6,low,Clear
248,2026-05-18,Koramangala,7,medium,Clear
249,2026-05-18,Koramangala,8,medium,Clear
250,2026-05-18,Koramangala,9,high,Cloudy
251,2026-05-18,Koramangala,10,medium,Clear
252,2026-05-18,Koramangala,11,low,Rain
253,2026-05-18,Koramangala,12,high,Clear
254,2026-05-18,Koramangala,13,high,Rain
255,2026-05-18,Koramangala,14,high,Clear
256,2026-05-18,Koramangala,15,medium,Clear
257,2026-05-18,Koramangala,16,high,Cloudy
258,2026-05-18,Koramangala,17,low,Clear
259,2026-05-18,Koramangala,18,medium,Rain
260,2026-05-18,Koramangala,19,high,Clear
261,2026-05-18,Koramangala,20,high,Clear
262,2026-05-18,Koramangala,21,high,Rain
263,2026-05-18,Koramangala,22,high,Clear
264,2026-05-18,Koramangala,23,medium,Clear
265,2026-05-19,Koramangala,0,low,Cloudy
266,2026-05-19,Koramangala,1,medium,Cloudy
267,2026-05-19,Koramangala,2,high,Clear
268,2026-05-19,Koramangala,3,low,Cloudy
269,2026-05-19,Koramangala,4,medium,Clear
270,2026-05-19,Koramangala,5,low,Clear
271,2026-05-19,Koramangala,6,high,Clear
272,2026-05-19,Koramangala,7,low,Clear
273,2026-05-19,Koramangala,8,medium,Clear
274,2026-05-19,Koramangala,9,low,Clear
275,2026-05-19,Koramangala,10,medium,Rain
276,2026-05-19,Koramangala,11,medium,Cloudy
277,2026-05-19,Koramangala,12,high,Clear
278,2026-05-19,Koramangala,13,high,Clear
279,2026-05-19,Koramangala,14,low,Clear
280,2026-05-19,Koramangala,15,medium,Clear
281,2026-05-19,Koramangala,16,medium,Clear
282,2026-05-19,Koramangala,17,low,Clear
283,2026-05-19,Koramangala,18,medium,Clear
284,2026-05-19,Koramangala,19,medium,Clear
285,2026-05-19,Koramangala,20,high,Clear
286,2026-05-19,Koramangala,21,high,Rain
287,2026-05-19,Koramangala,22,low,Clear
288,2026-05-19,Koramangala,23,high,Cloudy
289,2026-05-20,Koramangala,0,low,Cloudy
290,2026-05-20,Koramangala,1,low,Clear
291,2026-05-20,Koramangala,2,low,Cloudy
292,2026-05-20,Koramangala,3,low,Clear
293,2026-05-20,Koramangala,4,low,Clear
294,2026-05-20,Koramangala,5,low,Clear
295,2026-05-20,Koramangala,6,low,Clear
296,2026-05-20,Koramangala,7,low,Clear
297,2026-05-20,Koramangala,8,low,Clear
298,2026-05-20,Koramangala,9,high,Clear
299,2026-05-20,Koramangala,10,medium,Clear
300,2026-05-20,Koramangala,11,low,Clear
301,2026-05-20,Koramangala,12,medium,Clear
302,2026-05-20,Koramangala,13,medium,Clear
303,2026-05-20,Koramangala,14,low,Clear
304,2026-05-20,Koramangala,15,low,Clear
305,2026-05-20,Koramangala,16,medium,Clear
306,2026-05-20,Koramangala,17,low,Rain
307,2026-05-20,Koramangala,18,high,Clear
308,2026-05-20,Koramangala,19,high,Cloudy
309,2026-05-20,Koramangala,20,low,Clear
310,2026-05-20,Koramangala,21,high,Clear
311,2026-05-20,Koramangala,22,low,Clear
312,2026-05-20,Koramangala,23,low,Clear
313,2026-05-21,Koramangala,0,low,Clear
314,2026-05-21,Koramangala,1,low,Clear
315,2026-05-21,Koramangala,2,low,Clear
316,2026-05-21,Koramangala,3,low,Cloudy
317,2026-05-21,Koramangala,4,low,Clear
318,2026-05-21,Koramangala,5,low,Clear
319,2026-05-21,Koramangala,6,medium,Clear
320,2026-05-21,Koramangala,7,low,Clear
321,2026-05-21,Koramangala,8,low,Clear
322,2026-05-21,Koramangala,9,low,Clear
323,2026-05-21,Koramangala,10,low,Cloudy
324,2026-05-21,Koramangala,11,medium,Clear
325,2026-05-21,Koramangala,12,high,Clear
326,2026-05-21,Koramangala,13,low,Clear
327,2026-05-21,Koramangala,14,medium,Clear
328,2026-05-21,Koramangala,15,medium,Clear
329,2026-05-21,Koramangala,16,low,Clear
330,2026-05-21,Koramangala,17,medium,Clear
331,2026-05-21,Koramangala,18,medium,Cloudy
332,2026-05-21,Koramangala,19,high,Clear
333,2026-05-21,Koramangala,20,medium,Clear
334,2026-05-21,Koramangala,21,medium,Clear
335,2026-05-21,Koramangala,22,low,Clear
336,2026-05-21,Koramangala,23,low,Cloudy
337,2026-05-22,Koramangala,0,low,Clear
338,2026-05-22,Koramangala,1,low,Cloudy
339,2026-05-22,Koramangala,2,low,Clear
340,2026-05-22,Koramangala,3,high,Cloudy
341,2026-05-22,Koramangala,4,medium,Clear
342,2026-05-22,Koramangala,5,low,Clear
343,2026-05-22,Koramangala,6,high,Clear
344,2026-05-22,Koramangala,7,medium,Clear
345,2026-05-22,Koramangala,8,medium,Clear
346,2026-05-22,Koramangala,9,low,Clear
347,2026-05-22,Koramangala,10,medium,Clear
348,2026-05-22,Koramangala,11,low,Clear
349,2026-05-22,Koramangala,12,medium,Clear
350,2026-05-22,Koramangala,13,medium,Clear
351,2026-05-22,Koramangala,14,medium,Clear
352,2026-05-22,Koramangala,15,low,Clear
353,2026-05-22,Koramangala,16,low,Cloudy
354,2026-05-22,Koramangala,17,low,Rain
355,2026-05-22,Koramangala,18,medium,Clear
356,2026-05-22,Koramangala,19,high,Clear
357,2026-05-22,Koramangala,20,high,Clear
358,2026-05-22,Koramangala,21,medium,Cloudy
359,2026-05-22,Koramangala,22,high,Cloudy
360,2026-05-22,Koramangala,23,low,Clear
361,2026-05-23,Koramangala,0,medium,Clear
362,2026-05-23,Koramangala,1,low,Clear
363,2026-05-23,Koramangala,2,low,Rain
364,2026-05-23,Koramangala,3,low,Rain
365,2026-05-23,Koramangala,4,low,Clear
366,2026-05-23,Koramangala,5,low,Rain
367,2026-05-23,Koramangala,6,medium,Clear
368,2026-05-23,Koramangala,7,low,Cloudy
369,2026-05-23,Koramangala,8,low,Rain
370,2026-05-23,Koramangala,9,medium,Clear
371,2026-05-23,Koramangala,10,medium,Clear
372,2026-05-23,Koramangala,11,medium,Clear
373,2026-05-23,Koramangala,12,medium,Cloudy
374,2026-05-23,Koramangala,13,medium,Clear
375,2026-05-23,Koramangala,14,high,Clear
376,2026-05-23,Koramangala,15,low,Cloudy
377,2026-05-23,Koramangala,16,medium,Clear
378,2026-05-23,Koramangala,17,low,Rain
379,2026-05-23,Koramangala,18,high,Clear
380,2026-05-23,Koramangala,19,high,Rain
381,2026-05-23,Koramangala,20,medium,Clear
382,2026-05-23,Koramangala,21,medium,Clear
383,2026-05-23,Koramangala,22,low,Clear
384,2026-05-23,Koramangala,23,medium,Cloudy
385,2026-05-24,Koramangala,0,low,Rain
386,2026-05-24,Koramangala,1,low,Rain
387,2026-05-24,Koramangala,2,low,Clear
388,2026-05-24,Koramangala,3,low,Clear
389,2026-05-24,Koramangala,4,low,Clear
390,2026-05-24,Koramangala,5,low,Clear
391,2026-05-24,Koramangala,6,medium,Clear
392,2026-05-24,Koramangala,7,low,Clear
393,2026-05-24,Koramangala,8,low,Cloudy
394,2026-05-24,Koramangala,9,medium,Clear
395,2026-05-24,Koramangala,10,medium,Cloudy
396,2026-05-24,Koramangala,11,low,Clear
397,2026-05-24,Koramangala,12,high,Clear
398,2026-05-24,Koramangala,13,low,Cloudy
399,2026-05-24,Koramangala,14,high,Clear
400,2026-05-24,Koramangala,15,medium,Cloudy
401,2026-05-24,Koramangala,16,medium,Clear
402,2026-05-24,Koramangala,17,medium,Clear
403,2026-05-24,Koramangala,18,high,Clear
404,2026-05-24,Koramangala,19,high,Cloudy
405,2026-05-24,Koramangala,20,high,Clear
406,2026-05-24,Koramangala,21,high,Rain
407,2026-05-24,Koramangala,22,low,Cloudy
408,2026-05-24,Koramangala,23,high,Clear
409,2026-05-25,Koramangala,0,low,Clear
410,2026-05-25,Koramangala,1,low,Clear
411,2026-05-25,Koramangala,2,medium,Clear
412,2026-05-25,Koramangala,3,low,Clear
413,2026-05-25,Koramangala,4,low,Cloudy
414,2026-05-25,Koramangala,5,low,Clear
415,2026-05-25,Koramangala,6,medium,Clear
416,2026-05-25,Koramangala,7,low,Clear
417,2026-05-25,Koramangala,8,low,Clear
418,2026-05-25,Koramangala,9,medium,Clear
419,2026-05-25,Koramangala,10,high,Clear
420,2026-05-25,Koramangala,11,medium,Clear
421,2026-05-25,Koramangala,12,low,Clear
422,2026-05-25,Koramangala,13,medium,Cloudy
423,2026-05-25,Koramangala,14,low,Clear
424,2026-05-25,Koramangala,15,low,Cloudy
425,2026-05-25,Koramangala,16,medium,Clear
426,2026-05-25,Koramangala,17,low,Clear
427,2026-05-25,Koramangala,18,medium,Cloudy
428,2026-05-25,Koramangala,19,medium,Clear
429,2026-05-25,Koramangala,20,low,Clear
430,2026-05-25,Koramangala,21,high,Clear
431,2026-05-25,Koramangala,22,medium,Clear
432,2026-05-25,Koramangala,23,medium,Clear
433,2026-05-26,Koramangala,0,low,Clear
434,2026-05-26,Koramangala,1,low,Clear
435,2026-05-26,Koramangala,2,medium,Cloudy
436,2026-05-26,Koramangala,3,low,Clear
437,2026-05-26,Koramangala,4,low,Clear
438,2026-05-26,Koramangala,5,low,Clear
439,2026-05-26,Koramangala,6,medium,Clear
440,2026-05-26,Koramangala,7,low,Clear
441,2026-05-26,Koramangala,8,low,Clear
442,2026-05-26,Koramangala,9,low,Clear
443,2026-05-26,Koramangala,10,medium,Clear
444,2026-05-26,Koramangala,11,medium,Clear
445,2026-05-26,Koramangala,12,low,Clear
446,2026-05-26,Koramangala,13,high,Cloudy
447,2026-05-26,Koramangala,14,high,Clear
448,2026-05-26,Koramangala,15,medium,Clear
449,2026-05-26,Koramangala,16,low,Cloudy
450,2026-05-26,Koramangala,17,low,Clear
451,2026-05-26,Koramangala,18,medium,Clear
452,2026-05-26,Koramangala,19,medium,Clear
453,2026-05-26,Koramangala,20,high,Cloudy
454,2026-05-26,Koramangala,21,high,Clear
455,2026-05-26,Koramangala,22,low,Clear
456,2026-05-26,Koramangala,23,medium,Clear
457,2026-05-27,Koramangala,0,low,Clear
458,2026-05-27,Koramangala,1,low,Clear
459,2026-05-27,Koramangala,2,low,Cloudy
460,2026-05-27,Koramangala,3,low,Clear
461,2026-05-27,Koramangala,4,medium,Clear
462,2026-05-27,Koramangala,5,medium,Rain
463,2026-05-27,Koramangala,6,medium,Clear
464,2026-05-27,Koramangala,7,low,Clear
465,2026-05-27,Koramangala,8,medium,Clear
466,2026-05-27,Koramangala,9,low,Rain
467,2026-05-27,Koramangala,10,high,Clear
468,2026-05-27,Koramangala,11,low,Clear
469,2026-05-27,Koramangala,12,low,Cloudy
470,2026-05-27,Koramangala,13,medium,Clear
471,2026-05-27,Koramangala,14,low,Clear
472,2026-05-27,Koramangala,15,medium,Rain
473,2026-05-27,Koramangala,16,low,Clear
474,2026-05-27,Koramangala,17,low,Cloudy
475,2026-05-27,Koramangala,18,high,Clear
476,2026-05-27,Koramangala,19,high,Clear
477,2026-05-27,Koramangala,20,medium,Cloudy
478,2026-05-27,Koramangala,21,high,Clear
479,2026-05-27,Koramangala,22,medium,Clear
480,2026-05-27,Koramangala,23,low,Clear
481,2026-05-28,Koramangala,0,low,Clear
482,2026-05-28,Koramangala,1,low,Clear
483,2026-05-28,Koramangala,2,low,Clear
484,2026-05-28,Koramangala,3,low,Clear
485,2026-05-28,Koramangala,4,low,Clear
486,2026-05-28,Koramangala,5,low,Cloudy
487,2026-05-28,Koramangala,6,medium,Clear
488,2026-05-28,Koramangala,7,low,Clear
489,2026-05-28,Koramangala,8,medium,Clear
490,2026-05-28,Koramangala,9,medium,Clear
491,2026-05-28,Koramangala,10,low,Rain
492,2026-05-28,Koramangala,11,low,Clear
493,2026-05-28,Koramangala,12,high,Clear
494,2026-05-28,Koramangala,13,high,Clear
495,2026-05-28,Koramangala,14,low,Rain
496,2026-05-28,Koramangala,15,medium,Clear
497,2026-05-28,Koramangala,16,low,Clear
498,2026-05-28,Koramangala,17,low,Clear
499,2026-05-28,Koramangala,18,high,Clear
500,2026-05-28,Koramangala,19,high,Clear
501,2026-05-28,Koramangala,20,medium,Clear
502,2026-05-28,Koramangala,21,high,Clear
503,2026-05-28,Koramangala,22,high,Clear
504,2026-05-28,Koramangala,23,medium,Rain
505,2026-05-29,Koramangala,0,low,Clear
506,2026-05-29,Koramangala,1,low,Cloudy
507,2026-05-29,Koramangala,2,medium,Clear
508,2026-05-29,Koramangala,3,low,Cloudy
509,2026-05-29,Koramangala,4,low,Clear
510,2026-05-29,Koramangala,5,medium,Clear
511,2026-05-29,Koramangala,6,medium,Clear
512,2026-05-29,Koramangala,7,high,Cloudy
513,2026-05-29,Koramangala,8,high,Clear
514,2026-05-29,Koramangala,9,high,Rain
515,2026-05-29,Koramangala,10,low,Rain
516,2026-05-29,Koramangala,11,low,Clear
517,2026-05-29,Koramangala,12,medium,Clear
518,2026-05-29,Koramangala,13,low,Clear
519,2026-05-29,Koramangala,14,low,Clear
520,2026-05-29,Koramangala,15,low,Clear
521,2026-05-29,Koramangala,16,medium,Rain
522,2026-05-29,Koramangala,17,low,Clear
523,2026-05-29,Koramangala,18,high,Clear
524,2026-05-29,Koramangala,19,medium,Clear
525,2026-05-29,Koramangala,20,high,Clear
526,2026-05-29,Koramangala,21,high,Clear
527,2026-05-29,Koramangala,22,high,Rain
528,2026-05-29,Koramangala,23,high,Clear
529,2026-05-30,Koramangala,0,low,Clear
530,2026-05-30,Koramangala,1,low,Clear
531,2026-05-30,Koramangala,2,medium,Cloudy
532,2026-05-30,Koramangala,3,low,Clear
533,2026-05-30,Koramangala,4,low,Clear
534,2026-05-30,Koramangala,5,low,Clear
535,2026-05-30,Koramangala,6,low,Clear
536,2026-05-30,Koramangala,7,low,Clear
537,2026-05-30,Koramangala,8,low,Clear
538,2026-05-30,Koramangala,9,high,Clear
539,2026-05-30,Koramangala,10,low,Clear
540,2026-05-30,Koramangala,11,low,Cloudy
541,2026-05-30,Koramangala,12,high,Clear
542,2026-05-30,Koramangala,13,high,Cloudy
543,2026-05-30,Koramangala,14,high,Clear
544,2026-05-30,Koramangala,15,medium,Clear
545,2026-05-30,Koramangala,16,high,Clear
546,2026-05-30,Koramangala,17,high,Clear
547,2026-05-30,Koramangala,18,high,Clear
548,2026-05-30,Koramangala,19,medium,Clear
549,2026-05-30,Koramangala,20,medium,Clear
550,2026-05-30,Koramangala,21,high,Clear
551,2026-05-30,Koramangala,22,low,Cloudy
552,2026-05-30,Koramangala,23,high,Cloudy
553,2026-05-31,Koramangala,0,high,Clear
554,2026-05-31,Koramangala,1,low,Rain
555,2026-05-31,Koramangala,2,low,Clear
556,2026-05-31,Koramangala,3,medium,Clear
557,2026-05-31,Koramangala,4,low,Clear
558,2026-05-31,Koramangala,5,low,Clear
559,2026-05-31,Koramangala,6,low,Cloudy
560,2026-05-31,Koramangala,7,low,Clear
561,2026-05-31,Koramangala,8,high,Cloudy
562,2026-05-31,Koramangala,9,high,Rain
563,2026-05-31,Koramangala,10,medium,Clear
564,2026-05-31,Koramangala,11,low,Clear
565,2026-05-31,Koramangala,12,medium,Clear
566,2026-05-31,Koramangala,13,high,Clear
567,2026-05-31,Koramangala,14,low,Clear
568,2026-05-31,Koramangala,15,medium,Clear
569,2026-05-31,Koramangala,16,high,Clear
570,2026-05-31,Koramangala,17,medium,Clear
571,2026-05-31,Koramangala,18,high,Clear
572,2026-05-31,Koramangala,19,high,Clear
573,2026-05-31,Koramangala,20,medium,Cloudy
574,2026-05-31,Koramangala,21,high,Clear
575,2026-05-31,Koramangala,22,high,Cloudy
576,2026-05-31,Koramangala,23,medium,Rain
577,2026-06-01,Koramangala,0,low,Clear
578,2026-06-01,Koramangala,1,low,Rain
579,2026-06-01,Koramangala,2,low,Cloudy
580,2026-06-01,Koramangala,3,medium,Clear
581,2026-06-01,Koramangala,4,medium,Clear
582,2026-06-01,Koramangala,5,low,Clear
583,2026-06-01,Koramangala,6,low,Rain
584,2026-06-01,Koramangala,7,high,Clear
585,2026-06-01,Koramangala,8,low,Clear
586,2026-06-01,Koramangala,9,medium,Cloudy
587,2026-06-01,Koramangala,10,medium,Clear
588,2026-06-01,Koramangala,11,medium,Clear
589,2026-06-01,Koramangala,12,high,Clear
590,2026-06-01,Koramangala,13,high,Clear
